Atlas_Orientation,ROI_ID,ROI_Name,ROI_Voxel_Count,Intersection_Voxel_Count,Overlap_Percent,Partially_Affected,Surgery_Affected
Original,1,Left-Thalamus-Proper,14568,0,0,0,0
Original,2,Left-Caudate,10952,0,0,0,0
Original,3,Left-Putamen,10191,0,0,0,0
Original,4,Left-Pallidum,3579,0,0,0,0
Original,5,Left-Hippocampus,8501,0,0,0,0
Original,6,Left-Amygdala,3120,0,0,0,0
Original,7,Left-Accumbens-area,1453,0,0,0,0
Original,8,Left-VentralDC,10641,0,0,0,0
Original,9,Right-Thalamus-Proper,14233,0,0,0,0
Original,10,Right-Caudate,11642,0,0,0,0
Original,11,Right-Putamen,10263,28,0.272824710123745,1,0
Original,12,Right-Pallidum,3552,0,0,0,0
Original,13,Right-Hippocampus,8931,4278,47.9005710446758,0,1
Original,14,Right-Amygdala,3544,2918,82.3363431151242,0,1
Original,15,Right-Accumbens-area,1334,0,0,0,0
Original,16,Right-VentralDC,10712,575,5.36781179985064,0,1
Original,44,rh.7Networks_Vis_1,14013,9300,66.3669449796617,0,1
Original,45,rh.7Networks_Vis_2,14786,704,4.76126065196808,1,0
Original,46,rh.7Networks_Vis_3,21982,370,1.68319534164316,1,0
Original,47,rh.7Networks_Vis_4,21435,0,0,0,0
Original,48,rh.7Networks_Vis_5,12408,0,0,0,0
Original,49,rh.7Networks_Vis_6,13404,0,0,0,0
Original,50,rh.7Networks_Vis_7,13026,0,0,0,0
Original,51,rh.7Networks_Vis_8,15871,0,0,0,0
Original,52,rh.7Networks_SomMot_1,15299,6,0.0392182495587947,1,0
Original,53,rh.7Networks_SomMot_2,6814,0,0,0,0
Original,54,rh.7Networks_SomMot_3,8000,0,0,0,0
Original,55,rh.7Networks_SomMot_4,9774,0,0,0,0
Original,56,rh.7Networks_SomMot_5,4144,0,0,0,0
Original,57,rh.7Networks_SomMot_6,14238,0,0,0,0
Original,58,rh.7Networks_SomMot_7,5894,0,0,0,0
Original,59,rh.7Networks_SomMot_8,21345,0,0,0,0
Original,60,rh.7Networks_DorsAttn_Post_1,13226,0,0,0,0
Original,61,rh.7Networks_DorsAttn_Post_2,7643,0,0,0,0
Original,62,rh.7Networks_DorsAttn_Post_3,8588,0,0,0,0
