ENIGMA_Index,ENIGMA_Name,Project_ROI_ID,Project_ROI_Name,Project_Cortical_Order
1,7Networks_LH_Vis_1,94,lh.7Networks_Vis_1,51
2,7Networks_LH_Vis_2,95,lh.7Networks_Vis_2,52
3,7Networks_LH_Vis_3,96,lh.7Networks_Vis_3,53
4,7Networks_LH_Vis_4,97,lh.7Networks_Vis_4,54
5,7Networks_LH_Vis_5,98,lh.7Networks_Vis_5,55
6,7Networks_LH_Vis_6,99,lh.7Networks_Vis_6,56
7,7Networks_LH_Vis_7,100,lh.7Networks_Vis_7,57
8,7Networks_LH_Vis_8,101,lh.7Networks_Vis_8,58
9,7Networks_LH_Vis_9,102,lh.7Networks_Vis_9,59
10,7Networks_LH_SomMot_1,103,lh.7Networks_SomMot_1,60
11,7Networks_LH_SomMot_2,104,lh.7Networks_SomMot_2,61
12,7Networks_LH_SomMot_3,105,lh.7Networks_SomMot_3,62
13,7Networks_LH_SomMot_4,106,lh.7Networks_SomMot_4,63
14,7Networks_LH_SomMot_5,107,lh.7Networks_SomMot_5,64
15,7Networks_LH_SomMot_6,108,lh.7Networks_SomMot_6,65
16,7Networks_LH_DorsAttn_Post_1,109,lh.7Networks_DorsAttn_Post_1,66
17,7Networks_LH_DorsAttn_Post_2,110,lh.7Networks_DorsAttn_Post_2,67
18,7Networks_LH_DorsAttn_Post_3,111,lh.7Networks_DorsAttn_Post_3,68
19,7Networks_LH_DorsAttn_Post_4,112,lh.7Networks_DorsAttn_Post_4,69
20,7Networks_LH_DorsAttn_Post_5,113,lh.7Networks_DorsAttn_Post_5,70
21,7Networks_LH_DorsAttn_Post_6,114,lh.7Networks_DorsAttn_Post_6,71
22,7Networks_LH_DorsAttn_PrCv_1,115,lh.7Networks_DorsAttn_PrCv_1,72
23,7Networks_LH_DorsAttn_FEF_1,116,lh.7Networks_DorsAttn_FEF_1,73
24,7Networks_LH_SalVentAttn_ParOper_1,117,lh.7Networks_SalVentAttn_ParOper_1,74
25,7Networks_LH_SalVentAttn_FrOperIns_1,118,lh.7Networks_SalVentAttn_FrOperIns_1,75
26,7Networks_LH_SalVentAttn_FrOperIns_2,119,lh.7Networks_SalVentAttn_FrOperIns_2,76
27,7Networks_LH_SalVentAttn_PFCl_1,120,lh.7Networks_SalVentAttn_PFCl_1,77
28,7Networks_LH_SalVentAttn_Med_1,121,lh.7Networks_SalVentAttn_Med_1,78
29,7Networks_LH_SalVentAttn_Med_2,122,lh.7Networks_SalVentAttn_Med_2,79
30,7Networks_LH_SalVentAttn_Med_3,123,lh.7Networks_SalVentAttn_Med_3,80
31,7Networks_LH_Limbic_OFC_1,124,lh.7Networks_Limbic_OFC_1,81
32,7Networks_LH_Limbic_TempPole_1,125,lh.7Networks_Limbic_TempPole_1,82
33,7Networks_LH_Limbic_TempPole_2,126,lh.7Networks_Limbic_TempPole_2,83
34,7Networks_LH_Cont_Par_1,127,lh.7Networks_Cont_Par_1,84
35,7Networks_LH_Cont_PFCl_1,128,lh.7Networks_Cont_PFCl_1,85
36,7Networks_LH_Cont_pCun_1,129,lh.7Networks_Cont_pCun_1,86
37,7Networks_LH_Cont_Cing_1,130,lh.7Networks_Cont_Cing_1,87
38,7Networks_LH_Default_Temp_1,131,lh.7Networks_Default_Temp_1,88
39,7Networks_LH_Default_Temp_2,132,lh.7Networks_Default_Temp_2,89
40,7Networks_LH_Default_Par_1,133,lh.7Networks_Default_Par_1,90
41,7Networks_LH_Default_Par_2,134,lh.7Networks_Default_Par_2,91
42,7Networks_LH_Default_PFC_1,135,lh.7Networks_Default_PFC_1,92
43,7Networks_LH_Default_PFC_2,136,lh.7Networks_Default_PFC_2,93
44,7Networks_LH_Default_PFC_3,137,lh.7Networks_Default_PFC_3,94
45,7Networks_LH_Default_PFC_4,138,lh.7Networks_Default_PFC_4,95
46,7Networks_LH_Default_PFC_5,139,lh.7Networks_Default_PFC_5,96
47,7Networks_LH_Default_PFC_6,140,lh.7Networks_Default_PFC_6,97
48,7Networks_LH_Default_PFC_7,141,lh.7Networks_Default_PFC_7,98
49,7Networks_LH_Default_pCunPCC_1,142,lh.7Networks_Default_pCunPCC_1,99
50,7Networks_LH_Default_pCunPCC_2,143,lh.7Networks_Default_pCunPCC_2,100
51,7Networks_RH_Vis_1,44,rh.7Networks_Vis_1,1
52,7Networks_RH_Vis_2,45,rh.7Networks_Vis_2,2
53,7Networks_RH_Vis_3,46,rh.7Networks_Vis_3,3
54,7Networks_RH_Vis_4,47,rh.7Networks_Vis_4,4
55,7Networks_RH_Vis_5,48,rh.7Networks_Vis_5,5
56,7Networks_RH_Vis_6,49,rh.7Networks_Vis_6,6
57,7Networks_RH_Vis_7,50,rh.7Networks_Vis_7,7
58,7Networks_RH_Vis_8,51,rh.7Networks_Vis_8,8
59,7Networks_RH_SomMot_1,52,rh.7Networks_SomMot_1,9
60,7Networks_RH_SomMot_2,53,rh.7Networks_SomMot_2,10
61,7Networks_RH_SomMot_3,54,rh.7Networks_SomMot_3,11
62,7Networks_RH_SomMot_4,55,rh.7Networks_SomMot_4,12
63,7Networks_RH_SomMot_5,56,rh.7Networks_SomMot_5,13
64,7Networks_RH_SomMot_6,57,rh.7Networks_SomMot_6,14
65,7Networks_RH_SomMot_7,58,rh.7Networks_SomMot_7,15
66,7Networks_RH_SomMot_8,59,rh.7Networks_SomMot_8,16
67,7Networks_RH_DorsAttn_Post_1,60,rh.7Networks_DorsAttn_Post_1,17
68,7Networks_RH_DorsAttn_Post_2,61,rh.7Networks_DorsAttn_Post_2,18
69,7Networks_RH_DorsAttn_Post_3,62,rh.7Networks_DorsAttn_Post_3,19
70,7Networks_RH_DorsAttn_Post_4,63,rh.7Networks_DorsAttn_Post_4,20
71,7Networks_RH_DorsAttn_Post_5,64,rh.7Networks_DorsAttn_Post_5,21
72,7Networks_RH_DorsAttn_PrCv_1,65,rh.7Networks_DorsAttn_PrCv_1,22
73,7Networks_RH_DorsAttn_FEF_1,66,rh.7Networks_DorsAttn_FEF_1,23
74,7Networks_RH_SalVentAttn_TempOccPar_1,67,rh.7Networks_SalVentAttn_TempOccPar_1,24
75,7Networks_RH_SalVentAttn_TempOccPar_2,68,rh.7Networks_SalVentAttn_TempOccPar_2,25
76,7Networks_RH_SalVentAttn_FrOperIns_1,69,rh.7Networks_SalVentAttn_FrOperIns_1,26
77,7Networks_RH_SalVentAttn_Med_1,70,rh.7Networks_SalVentAttn_Med_1,27
78,7Networks_RH_SalVentAttn_Med_2,71,rh.7Networks_SalVentAttn_Med_2,28
79,7Networks_RH_Limbic_OFC_1,72,rh.7Networks_Limbic_OFC_1,29
80,7Networks_RH_Limbic_TempPole_1,73,rh.7Networks_Limbic_TempPole_1,30
81,7Networks_RH_Cont_Par_1,74,rh.7Networks_Cont_Par_1,31
82,7Networks_RH_Cont_Par_2,75,rh.7Networks_Cont_Par_2,32
83,7Networks_RH_Cont_PFCl_1,76,rh.7Networks_Cont_PFCl_1,33
84,7Networks_RH_Cont_PFCl_2,77,rh.7Networks_Cont_PFCl_2,34
85,7Networks_RH_Cont_PFCl_3,78,rh.7Networks_Cont_PFCl_3,35
86,7Networks_RH_Cont_PFCl_4,79,rh.7Networks_Cont_PFCl_4,36
87,7Networks_RH_Cont_Cing_1,80,rh.7Networks_Cont_Cing_1,37
88,7Networks_RH_Cont_PFCmp_1,81,rh.7Networks_Cont_PFCmp_1,38
89,7Networks_RH_Cont_pCun_1,82,rh.7Networks_Cont_pCun_1,39
90,7Networks_RH_Default_Par_1,83,rh.7Networks_Default_Par_1,40
91,7Networks_RH_Default_Temp_1,84,rh.7Networks_Default_Temp_1,41
92,7Networks_RH_Default_Temp_2,85,rh.7Networks_Default_Temp_2,42
93,7Networks_RH_Default_Temp_3,86,rh.7Networks_Default_Temp_3,43
94,7Networks_RH_Default_PFCv_1,87,rh.7Networks_Default_PFCv_1,44
95,7Networks_RH_Default_PFCv_2,88,rh.7Networks_Default_PFCv_2,45
96,7Networks_RH_Default_PFCdPFCm_1,89,rh.7Networks_Default_PFCdPFCm_1,46
97,7Networks_RH_Default_PFCdPFCm_2,90,rh.7Networks_Default_PFCdPFCm_2,47
98,7Networks_RH_Default_PFCdPFCm_3,91,rh.7Networks_Default_PFCdPFCm_3,48
99,7Networks_RH_Default_pCunPCC_1,92,rh.7Networks_Default_pCunPCC_1,49
100,7Networks_RH_Default_pCunPCC_2,93,rh.7Networks_Default_pCunPCC_2,50
